Dealer_Brand,Dealer_Category,Dealer_State,Dealer_City,Dealer_Pincode,Area_Name,Dealer_Address,FOS_Code,FOS_Name,Static_Mobile,MOBILE_NUMBER,Overall_Txn,Monthly_Avg_txns,DEALER_NAME
Ashtosh Wood Furniture,Furnishing,Maharashtra,Pune,411014,BYPASS ROAD NEAR PRACHI HOTEL VADGAOSHERI,Bypass Road Near Prachi Hotel Vadgaosheri Bypass Road Near Prachi Hotel Vadgaosheri  Pune Maharashtra,90042195,Balaji Raju Chowghule,REMI Model,A7366DD008917402D1D569EE6D84578DE48FAFD6222AF5A34A645542A79EB144,7,2,Ashtosh Wood Furniture
Novel Sewing Machine Company,Small Appliances,Maharashtra,Pune,411002,Nr Phadke Haud Pune Pune,777 Ground floor Raviwar peth Nr Phadke Haud Pune Pune  PUNE MAHARASHTRA,90049256,Sarang Awate,REMI Model,975FD11FEA5A9107A9A2FF0183A34A54518AC70523D7684D6C32A086819D591E,62,8,Novel Sewing Machine Company
Nishas Lucknow Chikan,Apparels,Maharashtra,Pune,411013,HADAPSAR PUNE PUNE,S21 A Seasons Mall 2Nd Floor Magarpatta Road Hadapsar Pune Pune  Pune Maharashtra,90041413,Vijay Kumar,REMI Model,5D853EA41472C7F7DC15EF1F651E48B7BE4E26E4B0D258F44F56B7811F56FCC7,3,1,Nishas Lucknow Chikan
Krushna Enterprises,Others,Maharashtra,Pune,411019,"MahatmaPhuleyMarg,ShreeApartment,MohanNagar,Chinchwad,PimpriChinchwad,MaharashtraPin-411","groundfloorshopno1renukahights MahatmaPhuleyMarg,ShreeApartment,MohanNagar,Chinchwad,PimpriChinchwad,MaharashtraPin-411  PUNE MAHARASHTRA",90042100,Anish Kumar Singh,REMI Model,432A2077E34B8EBAB34E394E8A7D97178C6CB8D880329D740B6378878FB19991,5,1,Krushna Enterprises
Alfa Engineering And Automotives,Others,Maharashtra,Pune,411011,KUMBHAR HOSPITAL SOMVAR PETH PUNE,SHOP NO 2 PAVITRA CO HOUSING SOCIETY OPP KUMBHAR HOSPITAL SOMVAR PETH PUNE  PUNE MAHARASHTRA,90042195,Balaji Raju Chowghule,REMI Model,A7366DD008917402D1D569EE6D84578DE48FAFD6222AF5A34A645542A79EB144,63,7,Alfa Engineering And Automotives
Jayesh Enterprisespune,Small Appliances,Maharashtra,Pune,412202,PUNE SOLAPUR HIGHWAY,Jayesh Enterprises Opp To Ganraj Hospital Pune Solapur Highway  Pune Maharashtra,No Mapping,No Mapping,REMI Model,,9,3,Jayesh Enterprisespune680
Pune Protein Shop,Gyms And Spas,Maharashtra,Pune,411009,"NearSaiBabaMandir,PuneSataraRoad,Pune","ShopNo4,PuneProteinShop,DattaPrasadBuilding, NearSaiBabaMandir,PuneSataraRoad,Pune  PUNE MAHARASHTRA",90042100,Anish Kumar Singh,REMI Model,432A2077E34B8EBAB34E394E8A7D97178C6CB8D880329D740B6378878FB19991,27,3,Pune Protein Shop
Toys Market,Others,Maharashtra,Pune,411017,,NA,90042100,Anish Kumar Singh,REMI Model,432A2077E34B8EBAB34E394E8A7D97178C6CB8D880329D740B6378878FB19991,57,12,Toys Market
Yokohama,Tyres,Maharashtra,Pune,411057,PUNE,Srr No 156 Sai Arcade Shop No 08 Near Ranjai Garden Pune Pune  Pune Maharashtra,90044027,Laxman Maske,Mobile,A27F856A2943AEA4FCA0C06A5A22705CA08A8417375B061314E08586A3087F43,78,8,Sai Krupa Wheels
Ph Tyres,Tyres,Maharashtra,Pune,412216,NH 753F LONIKAND PUNE,SHOP NO 2 VITTHAL TULSI PARK NH 753F LONIKAND PUNE  PUNE MAHARASHTRA,90042195,Balaji Raju Chowghule,REMI Model,A7366DD008917402D1D569EE6D84578DE48FAFD6222AF5A34A645542A79EB144,49,5,Ph Tyres
National Cycle World,Cycles,Maharashtra,Pune,411019,MOHAN NAGAR CHINCHWAD,Sr No 4731 Mangal Arcade Flb Mohan Nagar Chinchwad Pune 411019 Mohan Nagar Chinchwad  Pune Maharashtra,90063671,Aayan Shaikh,Mobile,B40D25C7172EC3C171C649C392387129A6A7C4B8504DE4B4770D3608A9B1550C,58,6,National Cycle World
