DEALER_ID,DEALER_NAME,DEALER_BRANCH,Pincode,City,State,Category,FOS_NAME,FOS_CODE,STATUS
922422772,Dealer_0,Branch_84,411409,Pune,Maharashtra,Small Appliances,FOS_0,941593883,Inactive
956382239,Dealer_1,Branch_38,411580,Pune,Maharashtra,Luggage,FOS_1,923252065,Mod Active
797289945,Dealer_2,Branch_70,411623,Pune,Maharashtra,Sports Equipment,FOS_2,989626340,Inactive
924450850,Dealer_3,Branch_34,411916,Pune,Maharashtra,Gyms And Spas,FOS_3,984994115,Inactive
277058802,Dealer_4,Branch_64,411711,Pune,Maharashtra,Power Tools,FOS_4,975130785,Inactive
748521518,Dealer_5,Branch_68,411854,Pune,Maharashtra,Vehicle Care / Servicing,FOS_5,938008119,Active
280320424,Dealer_6,Branch_31,411263,Pune,Maharashtra,Furnishing,FOS_6,912784177,Inactive
159019159,Dealer_7,Branch_72,411618,Pune,Maharashtra,Water Purifier,FOS_7,994454758,Mod Active
295498956,Dealer_8,Branch_60,411346,Pune,Maharashtra,Power Backup,FOS_8,952767537,Active
659051437,Dealer_9,Branch_90,411434,Pune,Maharashtra,Power Tools,FOS_9,922631857,Active
253695020,Dealer_10,Branch_23,411283,Pune,Maharashtra,Paints And Hardware,FOS_10,918482959,Active
316683467,Dealer_11,Branch_87,411655,Pune,Maharashtra,Pets Accessories,FOS_11,979207461,Inactive
572340569,Dealer_12,Branch_82,411547,Pune,Maharashtra,Luggage,FOS_12,924714322,Inactive
697171393,Dealer_13,Branch_77,411597,Pune,Maharashtra,Footwear,FOS_13,993350581,Active
926603683,Dealer_14,Branch_81,411791,Pune,Maharashtra,Lighting,FOS_14,967807557,Mod Active
150533368,Dealer_15,Branch_32,411277,Pune,Maharashtra,Power Tools,FOS_15,995632977,Inactive
290911957,Dealer_16,Branch_19,411583,Pune,Maharashtra,Fine Dining/Organized Dining,FOS_16,996403196,Mod Active
804597469,Dealer_17,Branch_49,411193,Pune,Maharashtra,Handicrafts,FOS_17,948278661,Mod Active
727434000,Dealer_18,Branch_12,411023,Pune,Maharashtra,Fine Dining/Organized Dining,FOS_18,980160404,Mod Active
907967199,Dealer_19,Branch_45,411867,Pune,Maharashtra,Travel Agencies,FOS_19,945062767,Inactive
849393424,Dealer_20,Branch_42,411676,Pune,Maharashtra,Apparels,FOS_20,946466050,Mod Active
791999767,Dealer_21,Branch_52,411722,Pune,Maharashtra,Others,FOS_21,903516717,Mod Active
289894783,Dealer_22,Branch_14,411194,Pune,Maharashtra,Furnishing,FOS_22,968879393,Active
370667504,Dealer_23,Branch_26,411024,Pune,Maharashtra,Tyres,FOS_23,943213683,Mod Active
628093286,Dealer_24,Branch_7,411393,Pune,Maharashtra,Power Backup,FOS_24,909594895,Active
879370965,Dealer_25,Branch_80,411058,Pune,Maharashtra,Toys,FOS_25,936823434,Inactive
624628714,Dealer_26,Branch_57,411055,Pune,Maharashtra,Handicrafts,FOS_26,926120791,Active
986089605,Dealer_27,Branch_29,411228,Pune,Maharashtra,Handicrafts,FOS_27,921613609,Inactive
312739551,Dealer_28,Branch_34,411104,Pune,Maharashtra,Pharmacy,FOS_28,917105754,Mod Active
890342788,Dealer_29,Branch_37,411300,Pune,Maharashtra,Travel Agencies,FOS_29,931008299,Inactive
471072133,Dealer_30,Branch_9,411668,Pune,Maharashtra,Remi Gas Kit,FOS_30,919107983,Inactive
722528764,Dealer_31,Branch_66,411343,Pune,Maharashtra,Bike Accessories,FOS_31,906443606,Active
247784822,Dealer_32,Branch_52,411405,Pune,Maharashtra,Crockery And House Hold Items,FOS_32,920343065,Mod Active
524929436,Dealer_33,Branch_27,411953,Pune,Maharashtra,Bike Accessories,FOS_33,938614214,Active
