DEALER_ID,Dealer_Name,Dealer_Brand,Dealer_Address,Dealer_Pincode,Dealer_City,Dealer_State,Dealer_Category_Level_3,FOS_Code,FOS_Name
465508,Supreme Car Decor And Auto Consultant,Supreme Car Decor And Auto Consultant,S R No 446 2 Near Nashik Phata Kasarwadi Bhosari Pune 411034 S R No 446 2 Near Nashik Phata Kasarwadi Bhosari Pune 411034  Pune Maharashtra,411034.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90044028,Hansraj Patil
993148,Shree Krishna Tyres,Shree Krishna Tyres,Gat No468 Ground Floor Shree Krishna Tyres Nigadtalawade Road Pimpri Chinchwad Pune  Pune Maharashtra,411062.0,Pune,Maharashtra,Tyres,90041457,Afroj Mastan Shaikh
776674,5 Star Car Accessories,5 Star Car Accessories,S No Pune Mumbai Highway Nr Jakya Pune Pune  Pune Maharashtra,411034.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90044028,Hansraj Patil
468890,Bhagyalaxmi Corporation,Bhagyalaxmi Corporation,Phuge Build Nr Hotel Ashoka Nashik Phata Kasarwadi Pune 411034 Nr Hotel Ashoka Nashik Phata  Pune Maharashtra,411034.0,Pune,Maharashtra,Cycles,90044028,Hansraj Patil
571563,V K Tyres And Auto Service,V K Tyres And Auto Service,Gajanan Maharaj Nagar Sr No 78 Near Pragati Gas Agency Dighi Pune Maharashtra 411015 Dighi Pune Maharashtra 411015  Pune Maharashtra,411015.0,Pune,Maharashtra,Tyres,90044028,Hansraj Patil
375251,Krishna Car Accessories,Krishna Car Accessories,Opp Sagar Plaza Nasik Phata Kasarwadi Pune Opp Sagar Plaza  Pune Maharashtra,411039.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90044028,Hansraj Patil
492588,Balaji Tyres,Balaji Tyres,Plot No Bg 74 Shop No 1 And 2 Jai Tulja Bhavani Industrial Telco Road Midc Bhosari Pune 411026 Plot No Bg 74 Shop No 1 And 2 Jai Tulja Bhavani Industrial Telco Road Midc Bhosari Pune 411026  Pune Maharashtra,411026.0,Pune,Maharashtra,Tyres,90044028,Hansraj Patil
795475,V K Tyres And Auto Service,V K Tyres And Auto Service,Gajanan Maharaj Nagar Sr No 78 Near Pragati Gas Dighi Pune Pune  Pune Maharashtra,411015.0,Pune,Maharashtra,Tyres,90044028,Hansraj Patil
524330,Shree Ganesh Tyres,Shree Ganesh Tyres,Opp Gavhane Petrol Pump 202 Sa Mahadev Complex Alandi Road Shastri Chowk Pune 411039 Opp Gavhane Petrol Pump 202 Sa Mahadev Complex Alandi Road Shastri Chowk Pune 411039  Pune Maharashtra,411039.0,Pune,Maharashtra,Tyres,90044028,Hansraj Patil
60021207,Vihan Bikes  Rides,Vihan Bikes Ridesnaedc,Ground Floor Gat No 114 A Sr No 212 Grand Square Pcmc Garden Road Opp Pmt Chowk Bhosari Gaon Pimpri Chinchwad Pune Maharashtra  Pune Maharashtra,411039.0,Pune,Maharashtra,E-Bike,90044028,Hansraj Patil
495068,Singhal Traders,Singhal Traders,Near Sheetal Baug Sr No 690 3 5 Flat No 1 Nashik Road Bhosari Pune Near Sheetal Baug Sr No 690 3 5 Flat No 1 Nashik Road Bhosari Pune  Pune Maharashtra,411039.0,Pune,Maharashtra,Power Backup,90044028,Hansraj Patil
723586,Shree Mauli Tyres,Shree Mauli Tyres,E Wing Flat No E 901 Ustav S N 232 Hissa 3 Acs No 4530 Bhosri Pune Bhosri Pune  Pune Maharashtra,411026.0,Pune,Maharashtra,Tyres,90044028,Hansraj Patil
476508,Golden Wheel,Golden Wheel,Behind Star Company Midc Road Lal Topi Nagar Midc Road Pimpri Pune 411018 Behind Star Company Midc Road Lal Topi Nagar Midc Road Pimpri Pune 411018  Pune Maharashtra,411018.0,Pune,Maharashtra,Tyres,90044028,Hansraj Patil
60033052,India Car Decorpimpri Chinchwad,India Car Decorpimpri Chinchwadedc,Shop No 1 Pune Mumbai Road Nashik Phata Kasarwadi  Pune Maharashtra,411034.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,No Mapping,No Mapping
451020,Vishwanath Tyres,Vishwanath Tyres,Shubam Complex Shop No 1 2 3 4 Chinchwad Haveli Pune Shubam Complex Shop No 1 2 3 4 Chinchwad Haveli Pune  Pune Maharashtra,411033.0,Pune,Maharashtra,Tyres,90041457,Afroj Mastan Shaikh
709200,Shree Balaji Tyres ,Shree Balaji Tyres,Sectore No Plot No 68 Shop No 1 2 Nigdi Pimpri Pune  Pune Maharashtra,411044.0,Pune,Maharashtra,Tyres,90041457,Afroj Mastan Shaikh
255324,Radhika Cables And Switch Gears,Radhika Cables And Switch Gear,Near Rly Stn Arya Samaj Chowk Pimpri Pune 411017 Arya Samaj Chowk  Pune Maharashtra,411017.0,Pune,Maharashtra,Small Appliances,90051446,Dhanashri Kshirsagar
524014,Shree Narayan Tyres And Services,Shree Narayan Tyres And Services,Gat No 65 Near Jain Mandir Durganagar Akurdi Pune 411035 Gat No 65 Near Jain Mandir Durganagar Akurdi Pune 411035  Pune Maharashtra,411035.0,Pune,Maharashtra,Tyres,90041457,Afroj Mastan Shaikh
432659,Balaji Tyres,Balaji Tyres,Shop No 8 Shubham Complex Near Old Jakat Naka Chinchwadgaon Pune 411033 Chinchwadgaon  Pune Maharashtra,411033.0,Pune,Maharashtra,Tyres,90041457,Afroj Mastan Shaikh
243292,New Pal & Sons Kids Camp,New Pal & Sons Kids Camp,Shop No 2 3 A 46 Laxmi Appt Rented Qtrs Sai Chowk Pimpri Pune 411017  Pune Maharashtra,411017.0,Pune,Maharashtra,Cycles,90051446,Dhanashri Kshirsagar
346653,Darshan Tyres,Darshan Tyres,Shop No 1 2 3 4 Empire Estate C Building Pune Mumbai Road Ranka Jwellers Lane Chinchwad Pune Empire Estate  Pune Maharashtra,411019.0,Pune,Maharashtra,Tyres,90051446,Dhanashri Kshirsagar
